ts,price,action,delta_units,pos_units,score,ev_bps,latency_ms,killswitch
2021-06-18 11:38:00+00:00,38.21,SELL,-4.292664357678549e-06,-0.0002226773473241852,-0.036975248296947774,-6.369752482969478,23,False
2021-06-18 11:51:00+00:00,38.14,SELL,-3.7393344767609033e-06,-0.0002264166818009461,-0.03929307627889586,-6.392930762788959,23,False
2021-06-18 12:00:00+00:00,38.25,SELL,-1.6437369243396498e-06,-0.00022806041872528576,-0.03913241114035182,-6.391324111403518,21,False
2021-06-18 12:02:00+00:00,38.1,SELL,-6.211914507963984e-07,-0.00022868161017608216,-0.0412223557373357,-6.412223557373357,22,False
2021-06-18 12:04:00+00:00,38.0,SELL,-3.091655608089452e-06,-0.0002317732657841716,-0.044131154752520975,-6.44131154752521,22,False
2021-06-18 12:10:00+00:00,38.03,SELL,-4.280218355878876e-06,-0.0002360534841400505,-0.04564561233928953,-6.456456123392895,21,False
2021-06-18 12:18:00+00:00,37.81,BUY,3.492952270683328e-06,-0.00023256053186936716,-0.05016808435563612,-6.501680843556361,21,False
2021-06-18 12:27:00+00:00,37.6,BUY,1.7190029065378728e-06,-0.0002308415289628293,-0.056751584136554976,-6.56751584136555,21,False
2021-06-18 12:44:00+00:00,37.77,BUY,5.261188345868255e-07,-0.00023031541012824246,-0.05869844338176894,-6.5869844338176895,22,False
2021-06-18 12:47:00+00:00,37.53,BUY,4.011148403328661e-06,-0.0002263042617249138,-0.06410086504649774,-6.641008650464977,22,False
2021-06-18 12:48:00+00:00,37.5,SELL,-5.099449738701602e-06,-0.0002314037114636154,-0.06828210731781202,-6.68282107317812,21,False
2021-06-18 12:56:00+00:00,37.47,SELL,-4.935459896755572e-06,-0.00023633917136037098,-0.07171218996578214,-6.717121899657822,23,False
2021-06-18 12:57:00+00:00,37.48,SELL,-4.711973202656554e-06,-0.00024105114456302753,-0.07383243068295439,-6.7383243068295435,37,False
2021-06-18 13:00:00+00:00,37.55,SELL,-3.1158932700100573e-06,-0.0002441670378330376,-0.07391920830285105,-6.73919208302851,23,False
2021-06-18 13:01:00+00:00,37.62,SELL,-2.566073245859697e-06,-0.0002467331110788973,-0.07245594996406764,-6.724559499640677,23,False
2021-06-18 13:09:00+00:00,37.68,SELL,-2.442372888351342e-06,-0.0002491754839672486,-0.06991788394071552,-6.699178839407155,22,False
2021-06-18 13:11:00+00:00,37.53,BUY,5.970727599275533e-07,-0.0002485784112073211,-0.07002998107050255,-6.700299810705026,23,False
2021-06-18 13:15:00+00:00,37.29,BUY,6.431381700151351e-06,-0.00024214702950716972,-0.07352075316829282,-6.735207531682928,22,False
2021-06-18 13:19:00+00:00,37.0,BUY,9.185346257172363e-06,-0.00023296168324999736,-0.08052054077455505,-6.80520540774555,22,False
2021-06-18 13:22:00+00:00,36.81,SELL,-3.452139821455446e-07,-0.0002333068972321429,-0.0885605192764935,-6.885605192764935,23,False
2021-06-18 13:23:00+00:00,36.83,SELL,-5.666447903287169e-06,-0.00023897334513543007,-0.09383484281615369,-6.938348428161537,22,False
2021-06-18 13:43:00+00:00,36.78,SELL,-5.159990195996537e-06,-0.0002441333353314266,-0.09845784808557355,-6.984578480855736,22,False
2021-06-18 14:01:00+00:00,37.09,BUY,1.3810342486374687e-05,-0.00023032299284505192,-0.09596987066452581,-6.959698706645258,23,False
2021-06-18 14:07:00+00:00,36.91,BUY,9.510296302293528e-07,-0.00022937196321482257,-0.09720121040382276,-6.972012104038228,21,False
2021-06-18 14:14:00+00:00,36.5,BUY,1.7762290905009822e-05,-0.00021160967230981275,-0.10458443746844122,-7.045844374684412,22,False
2021-06-18 14:15:00+00:00,36.31,SELL,-1.3701630028081595e-06,-0.0002129798353126209,-0.1125257042301335,-7.125257042301335,22,False
2021-06-18 14:16:00+00:00,36.1,SELL,-7.321692360480329e-07,-0.00021371200454866894,-0.12174036615339423,-7.217403661533942,23,False
2021-06-18 14:17:00+00:00,36.36,BUY,4.278293985218143e-06,-0.0002094337105634508,-0.1230406578222455,-7.230406578222455,22,False
2021-06-18 14:31:00+00:00,36.51,SELL,-3.4847299442862176e-07,-0.00020978218355787942,-0.12123872776542305,-7.21238727765423,22,False
2021-06-18 14:35:00+00:00,36.71,BUY,2.704770325455191e-06,-0.00020707741323242423,-0.11574684928633376,-7.157468492863337,22,False
2021-06-18 14:40:00+00:00,36.71,SELL,-2.1121561558610244e-06,-0.00020918956938828525,-0.11109533240871639,-7.110953324087164,21,False
2021-06-18 14:41:00+00:00,36.66,SELL,-2.147188943268127e-06,-0.00021133675833155338,-0.10753026371666978,-7.075302637166698,22,False
2021-06-18 14:42:00+00:00,36.58,SELL,-2.0637819923914516e-06,-0.00021340054032394483,-0.1052900155148077,-7.052900155148077,24,False
2021-06-18 14:46:00+00:00,36.7,SELL,-2.4082984238313495e-07,-0.00021364137016632797,-0.10046274299291486,-7.004627429929148,28,False
2021-06-18 14:47:00+00:00,36.64,SELL,-2.1211248591253198e-06,-0.00021576249502545329,-0.09726543534074122,-6.972654353407412,23,False
2021-06-18 14:50:00+00:00,36.64,SELL,-2.576707519128202e-06,-0.0002183392025445815,-0.09392892340318049,-6.939289234031805,22,False
2021-06-18 14:54:00+00:00,36.59,SELL,-2.536742340779509e-06,-0.000220875944885361,-0.09152175085827459,-6.915217508582746,23,False
2021-06-18 14:55:00+00:00,36.54,SELL,-2.7670548483524316e-06,-0.00022364299973371343,-0.08978002449732764,-6.8978002449732765,21,False
2021-06-18 14:57:00+00:00,36.55,SELL,-3.0002002785898738e-06,-0.0002266432000123033,-0.0875266492285889,-6.875266492285889,22,False
2021-06-18 14:58:00+00:00,36.38,BUY,6.747791279558784e-07,-0.00022596842088434742,-0.08818694961088615,-6.881869496108862,22,False
2021-06-18 14:59:00+00:00,36.38,SELL,-3.682789604422885e-06,-0.0002296512104887703,-0.08784171278588376,-6.878417127858838,21,False
2021-06-18 15:00:00+00:00,36.33,SELL,-3.4435683513423085e-06,-0.00023309477884011262,-0.08790367770716544,-6.879036777071654,23,False
