iter	Passed	Remaining
838	3990	765
839	3995	760
840	3999	756
841	4003	751
842	4008	746
843	4012	741
844	4016	736
845	4021	732
846	4025	727
847	4030	722
848	4034	717
849	4038	712
850	4043	707
851	4047	703
852	4052	698
853	4056	693
854	4060	688
855	4065	683
856	4070	679
857	4074	674
858	4078	669
859	4083	664
860	4088	660
861	4092	655
862	4096	650
863	4101	645
864	4106	640
865	4110	636
866	4115	631
867	4120	626
868	4124	621
869	4129	617
870	4133	612
871	4137	607
872	4142	602
873	4147	597
874	4151	593
875	4156	588
876	4160	583
877	4164	578
878	4169	573
879	4173	569
880	4178	564
881	4182	559
882	4187	554
883	4192	550
884	4197	545
885	4201	540
886	4206	535
887	4210	531
888	4215	526
889	4219	521
890	4223	516
891	4228	511
892	4232	507
893	4237	502
894	4241	497
895	4246	492
896	4251	488
897	4255	483
898	4259	478
899	4263	473
900	4267	468
901	4272	464
902	4276	459
903	4281	454
904	4285	449
905	4289	445
906	4294	440
907	4298	435
908	4303	430
909	4307	426
910	4312	421
911	4316	416
912	4321	411
913	4325	407
914	4330	402
915	4334	397
916	4338	392
917	4343	387
918	4347	383
919	4351	378
920	4356	373
921	4362	369
922	4367	364
923	4372	359
924	4377	354
925	4382	350
926	4386	345
927	4391	340
928	4396	336
929	4401	331
930	4406	326
931	4411	321
932	4416	317
933	4421	312
934	4426	307
935	4430	302
936	4435	298
937	4440	293
938	4444	288
939	4449	283
940	4453	279
941	4458	274
942	4462	269
943	4466	264
944	4471	260
945	4475	255
946	4479	250
947	4484	245
948	4489	241
949	4493	236
950	4497	231
951	4501	226
952	4506	222
953	4510	217
954	4514	212
955	4518	207
956	4523	203
957	4527	198
958	4531	193
959	4535	188
960	4540	184
961	4545	179
962	4549	174
963	4554	170
964	4558	165
965	4563	160
966	4567	155
967	4572	151
968	4576	146
969	4580	141
970	4585	136
971	4589	132
972	4593	127
973	4598	122
974	4602	118
975	4606	113
976	4611	108
977	4615	103
978	4619	99
979	4624	94
980	4629	89
981	4633	84
982	4638	80
983	4642	75
984	4646	70
985	4651	66
986	4655	61
987	4660	56
988	4664	51
989	4668	47
990	4673	42
991	4677	37
992	4681	33
993	4686	28
994	4690	23
995	4694	18
996	4698	14
997	4703	9
998	4708	4
999	4713	0
